Nombre  de la institución|Siglas
Autoridad de Aviación Civil de El Salvador|AAC
Asamblea Legislativa|AL
Autoridad Marítima Portuaria|AMP
Administración Nacional de Acueductos y Alcantarillados|ANDA
Academia Nacional de Seguridad Publica|ANSP
Banco de Desarrollo de El Salvador|BANDESAL
Banco de Fomento Agropecuario|BFA
Banco Hipotecario de El Salvador|BH
Caja Mutual de los Empleados del Ministerio de Educación|CAJA MINED
Corte de Cuentas de la República|CCR
Centro Farmacéutico de la Fuerza Armada|CEFAFA
Comisión Ejecutiva Hidroeléctrica del Rio Lempa|CEL
Comision Ejecutiva Portuaria Autonoma|CEPA
Centro Internacional de Ferias y Conveciones|CIFCO
Consejo Nacional de Calidad|CNC
Consejo Nacional de Energía|CNE
Consejo Nacional de la Judicatura|CNJ
Centro Nacional de Registros|CNR
Consejo Nacional de Administración de Bienes |CONAB
Consejo Nacional de Ciencia y Tecnología|CONACYT
Consejo Nacional de Ayuda Integral a la Persona con Discapacidad|CONAIPD
Comisión Nacional de la Micro y Pequeña Empresa|CONAMYPE
Consejo Nacional de la Niñez y de la Adolescencia|CONNA
Consejo Salvadoreño de la Agroindustria Azucarera|CONSAA
Corporación Salvadoreña de Inversiones|CORSAIN
Corporación Salvadoreña de Turismo|CORSATUR
Consejo Salvadoreño del Café|CSC
Corte Suprema de Justicia|CSJ
Consejo Superior de Salud Pública|CSSP
Consejo de Vigilancia de la Profesión Pública y Auditoría|CVPCPA
Defensoría del Consumidor|DC
Dirección General de Centros Penales|DGCP
Direccion General de Migración y Extranjeria|DGME
Dirección Nacional de Medicamentos|DNM
"Escuela Nacional de Agricultura "" Roberto Quiñonez """|ENA
Fondo Especial de los Recursos provenientes de la Privatización de ANTEL|FANTEL
Fiscalía General de la República|FGR
Fondo de Inversión Nacional en Electrificación y Telefonía/ Fondo de Inversión Social  para el Desarrollo Local de El Salvador|FINET/FISDL
Fondo Ambiental de El Salvador|FONAES
Fondo de Atención a las Víctimas de Accidentes de Tránsito.|FONAT
Fondo Nacional de Vivienda Popular|FONAVIPO
Fondo de Proteccion de Lisiados y Discapacitados a Consecuencia del Conflicto Armado|FOPROLYD
Fondo de Saneamiento y Fortalecimiento Financiero|FOSAFFI
Fondo Solidario para la Salud|FOSALUD
Fondo Salvadoreño para Estudios de Preinversión|FOSEP
Fondo Solidario para la Familia Microempresaria|FOSOFAMILIA
Fondo de Conservación Víal|FOVIAL
Fondo Social para la Vivienda|FSV
Instituto de Acceso a la Información Público|IAIP
Instituto Salvadoreño de Bienestar Magisterial|ISBM
Instituto especializado de la Educacion Superior para la formacion Diplomatica|IEESFORD
Instituto de Garantía de Depósitos|IGD
Inspectoria General de Seguridad Publica.|IGSP
Instituto de Legalización de la Propiedad|ILP
Instituto Nacional de los Deportes de El Salvador|INDES
Instituto Nacional de la Juventud|INJUVE
Instituto Nacional de Pensionados de los Empleados Públicos|INPEP
Instituto Salvadoreño de Fomento Cooperativo|INSAFOCOOP
Instituto Salvadoreño de Formación Profesional|INSAFORP
Instituto de Previsión Social de la Fuerza Armada|IPSFA
Instituto Salvadoreño de Desarrollo Municipal|ISDEM
Instituto Salvadoreño para el Desarrollo de la Mujer|ISDEMU
Instituto Salvadoreño Para el Desarrollo Integral de la Niñez y la Adolescencia|ISNA
Instituto Salvadoreño de Rehabilitación Integral|ISRI
Instituto Salvadoreño del Seguro Social|ISSS
Instituto Salvadoreño de Turismo|ISTU
Instituto Salvadoreño de Transformación Agraria|ISTA
Lotería Nacional de Beneficencia|LNB
Ministerio de Agricultura y Ganadería|MAG
Ministerio de Medio Ambiente y Recursos Naturales|MARN
Ministerio de la Defensa Nacional|MDN
Ministerio de Gobernación|MIGOB
Ministerio de Hacienda|MH
Ministerio de Economía|MINEC
Ministerio de Educación|MINED
Ministerio de Justicia y Seguridad Publica|MJSP
Oficina de Planificación del Área Metropolitana de San Salvador|OPAMSS
Procuraduría para la Defensa de los Derechos Humanos|PDDH
Procuraduría General de la República|PGR
Policía Nacional Civil|PNC
Presidencia de la República|PR 
Organismo promotor de exportaciones e inversiones de El Salvador|PROESA
Registro Nacional de las Personas Naturales|RNPN
Superintendencia General de Electricidad y Telecomunicaciones|SIGET
Superintendencia de Competencia|SC
Superintendencia del Sistema Financiero|SSF
Tribunal de Ética Gubernamental|TEG
Tribunal de Servicio Civil|TSC
Universidad de El Salvador|UES
Viceministerio de Transporte|VMT
Dirección Nacional de Impuestos Internos|DGII
Dirección Nacional de Aduanas |DNA
Unidad Tecnica Ejecutiva del Sector de Justicia|UTE